ticker,date,open,high,low,close,volume
HBC,2025-10-09,7.2,7.3,7.1,7.2,1713200
HBC,2025-10-10,7.2,7.2,7.0,7.2,1586800
HBC,2025-10-13,7.0,7.1,6.9,7.1,1487900
HBC,2025-10-14,7.0,7.2,6.9,7.0,2039000
HBC,2025-10-15,7.1,7.1,6.8,6.8,1572300
HBC,2025-10-16,6.8,7.0,6.7,6.8,1935700
HBC,2025-10-17,6.8,6.8,6.5,6.5,3315700
HBC,2025-10-20,6.5,6.8,6.2,6.4,3491400
HBC,2025-10-21,6.5,6.6,6.2,6.3,2291400
HBC,2025-10-22,6.3,6.4,6.2,6.4,1389600
HBC,2025-10-23,6.4,6.5,6.2,6.4,1565200
HBC,2025-10-24,6.3,6.4,6.0,6.3,1534300
HBC,2025-10-27,6.3,6.3,6.1,6.1,1492000
HBC,2025-10-28,6.1,6.3,6.0,6.3,1780800
HBC,2025-10-29,6.2,6.5,6.1,6.4,2129100
HBC,2025-10-30,6.3,6.6,6.3,6.6,2904700
HBC,2025-10-31,6.6,6.9,6.5,6.7,2889300
HBC,2025-11-03,6.7,6.8,6.3,6.4,1895900
HBC,2025-11-04,6.4,6.5,6.2,6.5,1868800
HBC,2025-11-05,6.0,6.5,6.0,6.4,556000
HBC,2025-11-06,6.4,6.4,6.2,6.4,652800
HBC,2025-11-07,6.4,6.4,6.1,6.1,1263700
HBC,2025-11-10,6.2,6.2,6.1,6.1,713000
HBC,2025-11-11,6.2,6.2,6.1,6.2,880600
HBC,2025-11-12,6.2,6.3,6.1,6.3,506000
HBC,2025-11-13,6.3,6.3,6.2,6.3,405000
HBC,2025-11-14,6.3,6.3,6.2,6.3,666300
HBC,2025-11-17,6.3,6.5,6.2,6.5,957400
HBC,2025-11-18,6.5,6.5,6.3,6.4,758000
HBC,2025-11-19,6.4,6.4,6.3,6.4,846500
HBC,2025-11-20,6.4,6.4,6.3,6.4,1650700
HBC,2025-11-21,6.3,6.4,6.2,6.4,737100
HBC,2025-11-24,6.4,6.4,6.2,6.3,1242100
HBC,2025-11-25,6.3,6.4,6.2,6.3,567900
HBC,2025-11-26,6.3,6.3,6.2,6.3,1023100
HBC,2025-11-27,6.3,6.3,6.1,6.2,1008500
